train/total_loss,train/l_absa,train/l_rec,train/mse_loss,train/alpha,train/beta,train/lr,step
6.0,8.9375,4.90625,1.71875,1.0,0.1,0.0,0
7.9375,9.6875,6.78125,1.984375,0.9998382204246714,0.1001820020222447,2.4271844660194176e-07,5
5.5625,5.75,4.78125,1.8671875,0.9996764408493428,0.10036400404448939,4.045307443365696e-07,10
6.25,9.6875,5.09375,1.8125,0.9995146612740141,0.10054600606673408,6.472491909385114e-07,15
6.78125,10.5625,5.53125,1.765625,0.9993528816986855,0.10072800808897878,8.090614886731392e-07,20
6.40625,11.5625,5.0625,1.8125,0.9991911021233569,0.10091001011122347,1.051779935275081e-06,25
0.91015625,7.15625,0.0,1.875,0.9990293225480283,0.10109201213346816,1.2135922330097087e-06,30
6.40625,9.25,5.28125,1.8984375,0.9988675429726998,0.10127401415571284,1.4563106796116506e-06,35
7.25,9.5,6.09375,1.828125,0.998705763397371,0.10145601617795753,1.6181229773462783e-06,40
7.09375,8.6875,6.03125,1.8984375,0.9985439838220425,0.10163801820020223,1.8608414239482202e-06,45
1.0654296875,8.6875,0.0,1.828125,0.9983822042467139,0.10182002022244692,2.0226537216828478e-06,50
1.2373046875,10.3125,0.0,1.828125,0.9982204246713853,0.10200202224469161,2.26537216828479e-06,55
1.1435546875,9.375,0.0,1.8671875,0.9980586450960566,0.1021840242669363,2.4271844660194174e-06,60
7.0,11.1875,5.65625,1.9375,0.997896865520728,0.102366026289181,2.6699029126213593e-06,65
7.25,9.75,6.0625,1.8671875,0.9977350859453994,0.10254802831142569,2.831715210355987e-06,70
8.0,10.4375,6.8125,1.75,0.9975733063700708,0.10273003033367038,3.074433656957929e-06,75
8.375,9.8125,7.1875,1.859375,0.9974115267947422,0.10291203235591508,3.2362459546925567e-06,80
1.0107421875,8.0,0.0,1.8671875,0.9972497472194135,0.10309403437815977,3.478964401294499e-06,85
9.0625,9.75,7.875,1.9375,0.9970879676440849,0.10327603640040445,3.6407766990291263e-06,90
1.201171875,9.75,0.0,1.9375,0.9969261880687563,0.10345803842264914,3.883495145631068e-06,95
7.1875,11.1875,5.875,1.890625,0.9967644084934277,0.10364004044489383,4.0453074433656955e-06,100
5.78125,8.625,4.71875,1.8984375,0.9966026289180991,0.10382204246713853,4.288025889967637e-06,105
1.2236328125,10.0,0.0,1.84375,0.9964408493427704,0.10400404448938322,4.4498381877022656e-06,110
1.166015625,9.4375,0.0,1.8203125,0.9962790697674418,0.10418604651162791,4.6925566343042074e-06,115
7.90625,12.3125,6.46875,1.875,0.9961172901921133,0.1043680485338726,4.854368932038835e-06,120
7.75,15.5625,5.96875,1.8828125,0.9959555106167847,0.1045500505561173,5.097087378640777e-06,125
5.4375,9.375,4.3125,1.8828125,0.995793731041456,0.10473205257836199,5.258899676375405e-06,130
6.875,11.5,5.5,1.875,0.9956319514661274,0.10491405460060668,5.501618122977347e-06,135
6.125,8.375,5.09375,1.84375,0.9954701718907988,0.10509605662285137,5.663430420711974e-06,140
5.34375,7.1875,4.4375,1.7578125,0.9953083923154702,0.10527805864509607,5.906148867313916e-06,145
6.0625,8.625,5.0,1.90625,0.9951466127401416,0.10546006066734076,6.067961165048544e-06,150
1.181640625,9.5,0.0,1.8125,0.9949848331648129,0.10564206268958544,6.310679611650486e-06,155
5.28125,7.78125,4.28125,2.046875,0.9948230535894843,0.10582406471183013,6.472491909385113e-06,160
5.625,7.8125,4.625,1.96875,0.9946612740141557,0.10600606673407482,6.715210355987054e-06,165
6.03125,9.1875,4.90625,1.8515625,0.9944994944388271,0.10618806875631952,6.877022653721683e-06,170
1.3359375,10.6875,0.0,1.953125,0.9943377148634985,0.10637007077856421,7.119741100323625e-06,175
1.216796875,9.6875,0.0,1.859375,0.9941759352881698,0.1065520728008089,7.281553398058253e-06,180
5.75,9.25,4.59375,1.8515625,0.9940141557128412,0.1067340748230536,7.524271844660194e-06,185
6.6875,8.5,5.625,1.890625,0.9938523761375126,0.10691607684529829,7.686084142394823e-06,190
5.59375,8.75,4.5,1.8984375,0.9936905965621841,0.10709807886754298,7.928802588996764e-06,195
5.96875,7.8125,4.96875,1.765625,0.9935288169868554,0.10728008088978767,8.090614886731391e-06,200
6.84375,7.5,5.875,1.859375,0.9933670374115268,0.10746208291203237,8.333333333333334e-06,205
5.15625,7.625,4.1875,2.0,0.9932052578361982,0.10764408493427706,8.495145631067963e-06,210
5.78125,9.3125,4.625,1.9375,0.9930434782608696,0.10782608695652174,8.737864077669904e-06,215
